iter	Passed	Remaining
417	5492	7646
418	5504	7632
419	5518	7620
420	5529	7604
421	5542	7591
422	5555	7577
423	5566	7562
424	5578	7546
425	5593	7536
426	5605	7522
427	5616	7506
428	5628	7491
429	5641	7478
430	5654	7465
431	5670	7455
432	5682	7440
433	5693	7425
434	5708	7414
435	5726	7407
436	5742	7398
437	5758	7389
438	5773	7377
439	5787	7365
440	5801	7354
441	5813	7339
442	5828	7328
443	5840	7314
444	5854	7301
445	5868	7289
446	5880	7274
447	5891	7259
448	5904	7246
449	5917	7232
450	5930	7219
451	5941	7203
452	5955	7190
453	5967	7176
454	5978	7160
455	5989	7145
456	6002	7131
457	6016	7120
458	6027	7104
459	6039	7090
460	6053	7077
461	6067	7065
462	6079	7050
463	6090	7035
464	6102	7021
465	6116	7008
466	6126	6992
467	6138	6978
468	6151	6964
469	6164	6951
470	6175	6936
471	6186	6920
472	6199	6907
473	6213	6894
474	6223	6878
475	6236	6865
476	6248	6851
477	6261	6838
478	6273	6823
479	6284	6808
480	6297	6794
481	6309	6780
482	6320	6765
483	6331	6750
484	6345	6738
485	6356	6722
486	6367	6707
487	6380	6694
488	6393	6681
489	6404	6666
490	6416	6651
491	6430	6639
492	6449	6632
493	6462	6619
494	6474	6605
495	6486	6590
496	6497	6575
497	6510	6562
498	6523	6549
499	6534	6534
500	6545	6519
501	6559	6506
502	6570	6492
503	6581	6477
504	6593	6462
505	6605	6448
506	6615	6432
507	6627	6418
508	6640	6405
509	6651	6390
510	6665	6378
511	6676	6363
512	6689	6350
513	6702	6337
514	6713	6322
515	6725	6308
516	6737	6294
517	6749	6280
518	6760	6265
519	6774	6252
520	6786	6239
521	6799	6226
522	6810	6211
523	6823	6198
524	6836	6184
525	6846	6169
526	6858	6155
527	6873	6144
528	6886	6131
529	6899	6118
530	6909	6102
531	6922	6089
532	6935	6076
533	6945	6061
534	6956	6046
535	6970	6033
536	6983	6021
537	6995	6007
538	7005	5991
539	7019	5979
540	7033	5967
541	7046	5954
542	7057	5939
543	7069	5925
544	7084	5914
545	7097	5901
546	7107	5886
547	7120	5873
548	7134	5861
549	7148	5849
550	7160	5834
551	7171	5820
552	7185	5808
553	7198	5795
554	7209	5780
555	7220	5765
556	7233	5753
557	7246	5740
558	7257	5725
559	7268	5711
560	7282	5698
561	7295	5686
562	7306	5671
563	7317	5656
564	7330	5643
565	7341	5629
566	7352	5614
567	7365	5601
568	7378	5588
569	7389	5574
570	7400	5560
571	7413	5547
572	7426	5534
573	7441	5522
574	7451	5507
575	7463	5494
576	7476	5480
577	7486	5466
578	7499	5452
579	7512	5439
580	7524	5426
581	7537	5413
582	7549	5399
583	7562	5386
584	7575	5374
585	7587	5360
586	7601	5347
587	7614	5335
588	7628	5323
589	7642	5311
590	7654	5297
591	7665	5282
592	7677	5269
593	7691	5256
594	7704	5244
595	7716	5230
596	7728	5217
597	7742	5205
598	7756	5192
599	7767	5178
600	7778	5164
601	7792	5151
602	7805	5138
603	7817	5125
604	7828	5111
605	7840	5097
606	7854	5085
607	7867	5072
608	7880	5059
609	7890	5045
610	7905	5032
611	7918	5020
612	7929	5006
613	7942	4992
614	7955	4980
615	7967	4967
616	7978	4952
617	7989	4938
618	8004	4927
619	8020	4915
620	8035	4904
621	8051	4893
622	8065	4880
623	8077	4867
624	8090	4854
625	8107	4843
626	8122	4832
627	8136	4819
628	8151	4807
629	8164	4794
630	8175	4781
631	8187	4767
632	8202	4755
633	8217	4744
634	8230	4731
635	8242	4717
636	8254	4703
637	8267	4691
638	8280	4677
639	8292	4664
640	8303	4650
641	8318	4638
642	8332	4626
643	8343	4612
644	8354	4597
645	8366	4584
646	8379	4571
647	8391	4558
648	8402	4544
649	8416	4532
650	8431	4520
651	8446	4507
652	8457	4494
653	8467	4479
654	8481	4467
655	8495	4454
656	8506	4440
657	8517	4427
658	8531	4414
659	8544	4401
660	8555	4387
661	8566	4373
662	8579	4360
663	8592	4347
664	8602	4333
665	8614	4320
666	8627	4307
667	8642	4295
668	8656	4282
669	8667	4268
670	8678	4255
671	8692	4242
672	8704	4229
673	8715	4215
674	8727	4202
675	8740	4189
676	8751	4175
677	8763	4162
678	8776	4149
679	8789	4136
680	8800	4122
681	8812	4109
682	8825	4096
683	8838	4083
684	8850	4070
685	8862	4056
686	8874	4043
687	8889	4031
688	8900	4017
689	8911	4003
690	8925	3991
691	8939	3978
692	8952	3965
693	8963	3952
694	8974	3938
695	8988	3926
696	9002	3913
697	9012	3899
698	9023	3885
699	9037	3873
700	9047	3859
701	9059	3845
702	9071	3832
703	9084	3819
704	9097	3806
705	9108	3792
706	9121	3780
707	9135	3767
708	9148	3755
709	9161	3741
710	9174	3728
711	9188	3716
712	9202	3704
713	9215	3691
714	9226	3677
715	9238	3664
716	9251	3651
717	9263	3638
718	9275	3624
719	9286	3611
720	9300	3598
721	9312	3585
722	9322	3571
723	9337	3559
724	9350	3546
725	9363	3533
726	9375	3520
727	9388	3507
728	9400	3494
729	9415	3482
730	9428	3469
731	9438	3455
732	9450	3442
733	9464	3430
734	9476	3416
735	9487	3403
736	9500	3390
737	9513	3377
738	9524	3363
739	9534	3350
740	9548	3337
741	9560	3324
742	9571	3310
743	9584	3297
744	9599	3285
745	9612	3272
746	9623	3259
747	9634	3245
748	9646	3232
749	9659	3219
750	9670	3206
751	9682	3193
752	9695	3180
753	9707	3167
754	9718	3153
755	9731	3140
756	9745	3128
757	9757	3115
758	9768	3101
759	9779	3088
760	9794	3075
761	9807	3063
762	9818	3049
763	9830	3036
764	9843	3023
765	9855	3010
766	9867	2997
767	9879	2984
768	9893	2971
769	9906	2959
770	9917	2945
771	9928	2932
772	9942	2919
773	9955	2906
774	9967	2893
775	9978	2880
776	9991	2867
777	10005	2854
778	10017	2841
779	10028	2828
780	10041	2815
781	10057	2803
782	10072	2791
783	10086	2778
784	10096	2765
785	10110	2752
786	10125	2740
787	10141	2728
788	10154	2715
789	10169	2703
790	10180	2689
791	10192	2676
792	10205	2664
793	10219	2651
794	10232	2638
795	10242	2625
796	10254	2611
797	10267	2598
798	10279	2586
799	10291	2572
800	10303	2559
801	10320	2547
802	10334	2535
803	10349	2522
804	10365	2510
805	10382	2499
806	10399	2487
807	10413	2474
808	10425	2461
809	10440	2448
810	10453	2436
811	10467	2423
812	10480	2410
813	10493	2397
814	10504	2384
815	10518	2371
816	10532	2359
817	10546	2346
818	10557	2333
819	10569	2320
820	10582	2307
821	10593	2294
822	10604	2280
823	10617	2267
824	10632	2255
825	10646	2242
826	10657	2229
827	10668	2216
828	10681	2203
829	10696	2190
830	10708	2177
831	10720	2164
832	10733	2151
833	10748	2139
834	10761	2126
835	10774	2113
836	10784	2100
837	10796	2087
838	10809	2074
839	10820	2060
840	10831	2047
841	10845	2035
842	10857	2022
843	10868	2008
844	10880	1995
845	10893	1982
846	10905	1969
847	10916	1956
848	10928	1943
849	10942	1931
850	10954	1918
851	10965	1904
852	10977	1891
853	10989	1878
854	11000	1865
855	11011	1852
856	11024	1839
857	11036	1826
858	11049	1813
859	11061	1800
860	11075	1788
861	11089	1775
862	11101	1762
863	11112	1749
864	11124	1736
865	11136	1723
866	11147	1710
867	11159	1697
868	11172	1684
869	11185	1671
870	11195	1658
871	11207	1645
872	11221	1632
873	11233	1619
874	11246	1606
875	11258	1593
876	11272	1580
877	11285	1568
878	11297	1555
879	11308	1542
880	11321	1529
881	11335	1516
882	11351	1504
883	11362	1491
884	11374	1478
885	11390	1465
886	11405	1452
887	11417	1440
888	11429	1427
889	11440	1413
890	11454	1401
891	11468	1388
892	11483	1375
893	11496	1363
894	11507	1350
895	11519	1337
896	11534	1324
897	11548	1311
898	11561	1298
899	11574	1286
900	11587	1273
901	11601	1260
902	11615	1247
903	11626	1234
904	11637	1221
905	11650	1208
906	11662	1195
907	11674	1182
908	11685	1169
909	11699	1157
910	11714	1144
911	11727	1131
912	11737	1118
913	11750	1105
914	11764	1092
915	11778	1080
916	11788	1067
917	11799	1054
918	11814	1041
919	11828	1028
920	11841	1015
921	11851	1002
922	11863	989
923	11875	976
924	11886	963
925	11897	950
926	11909	937
927	11920	924
928	11931	911
929	11944	899
930	11957	886
931	11967	873
932	11978	860
933	11991	847
934	12002	834
935	12013	821
936	12027	808
937	12040	795
938	12051	782
939	12061	769
940	12074	757
941	12086	744
942	12096	731
943	12114	718
944	12127	705
945	12139	692
946	12150	680
947	12161	667
948	12174	654
949	12187	641
950	12198	628
951	12210	615
952	12224	602
953	12237	590
954	12250	577
955	12261	564
956	12276	551
957	12292	538
958	12310	526
959	12325	513
960	12347	501
961	12359	488
962	12374	475
963	12393	462
964	12409	450
965	12424	437
966	12441	424
967	12458	411
968	12473	399
969	12487	386
970	12501	373
971	12512	360
972	12524	347
973	12538	334
974	12552	321
975	12562	308
976	12573	295
977	12585	283
978	12597	270
979	12610	257
980	12622	244
981	12636	231
982	12652	218
983	12665	205
984	12677	193
985	12689	180
986	12702	167
987	12716	154
988	12730	141
989	12741	128
990	12754	115
991	12768	102
992	12781	90
993	12793	77
994	12804	64
995	12816	51
996	12830	38
997	12840	25
998	12852	12
999	12865	0
